a,b
1829,1
1831,0
1833,0
1836,0.333333333333333333
1838,0
1840,0.5
1841,1.166666666666666667
1842,1
1843,0
1844,0
1845,0.428571428571428571
1846,0.5
1847,0.666666666666666667
1848,0.909090909090909091
1849,0.428571428571428571
1850,0.454545454545454545
1851,0.454545454545454545
1852,0.9375
1853,0.333333333333333333
1854,0.5
1855,0.375
1856,0.36
1857,0.384615384615384615
1858,0.25
1859,0.363636363636363636
1860,0.472222222222222222
1861,0.333333333333333333
1862,0.297872340425531915
1863,0.421052631578947368
1864,0.428571428571428571
1865,0.613333333333333333
1866,0.441558441558441558
1867,0.561403508771929825
1868,0.510416666666666667
1869,0.348623853211009174
1870,0.477064220183486239
1871,0.496124031007751938
1872,0.472
1873,0.455172413793103448
1874,0.5
1875,0.47391304347826087
1876,0.512727272727272727
1877,0.459143968871595331
1878,0.480132450331125828
1879,0.4376657824933687
1880,0.471389645776566757
1881,0.446524064171122995
1882,0.553047404063205418
1883,0.442953020134228188
1884,0.446850393700787402
1885,0.463601532567049808
1886,0.344467640918580376
1887,0.346228239845261122
1888,0.363951473136915078
1889,0.347572815533980583
1890,0.373493975903614458
1891,0.338028169014084507
1892,0.331372549019607843
1893,0.363449691991786448
1894,0.341517857142857143
1895,0.306382978723404255
1896,0.318485523385300668
1897,0.305084745762711864
1898,0.354969574036511156
1899,0.320388349514563107
1900,0.29304029304029304
1901,0.255663430420711974
1902,0.290064102564102564
1903,0.298387096774193548
1904,0.254098360655737705
1905,0.301794453507340946
1906,0.285939968404423381
1907,0.265007320644216691
1908,0.288888888888888889
1909,0.271659324522760646
1910,0.290184921763869132
1911,0.238159675236806495
1912,0.266398929049531459
1913,0.212628865979381443
1914,0.206002728512960437
1915,0.209969788519637462
1916,0.208747514910536779
1917,0.199063231850117096
1918,0.263157894736842105
1919,0.285714285714285714
1920,0.278131634819532909
1921,0.230769230769230769
1922,0.284697508896797153
1923,0.250896057347670251
1924,0.216129032258064516
1925,0.25
1926,0.195
1927,0.207175925925925926
1928,0.208428246013667426
1929,0.223865877712031558
1930,0.247628083491461101
1931,0.236248872858431019
1932,0.264312977099236641
1933,0.24563017479300828
1934,0.218842001962708538
1935,0.258341277407054337
1936,0.214025500910746812
1937,0.266493055555555556
1938,0.2390625
1939,0.256514657980456026
1940,0.226340694006309148
1941,0.213973799126637555
1942,0.207362885048835462
1943,0.242867593269934162
1944,0.203340595497458243
1945,0.224679029957203994
1946,0.205110007097232079
1947,0.243055555555555556
1948,0.202239789196310935
1949,0.212557226945716154
1950,0.226912928759894459
1951,0.241602067183462532
1952,0.239276139410187668
1953,0.224476854787571338
1954,0.243708609271523179
1955,0.229665071770334928
1956,0.245073891625615764
1957,0.252342286071205497
1958,0.237650933040614709
1959,0.244119184526921066
1960,0.24836272040302267
1961,0.243839835728952772
1962,0.256954266855256954
1963,0.222938737908797789
1964,0.261597938144329897
1965,0.264894984997856837
1966,0.25
1967,0.242503259452411995
1968,0.253923541247484909
1969,0.256077795786061588
1970,0.241527074405921309
1971,0.229476153244722439
1972,0.246481551920882465
1973,0.25264750378214826
1974,0.275345622119815668
1975,0.24291497975708502
1976,0.260487415101877747
1977,0.23667905824039653
1978,0.263443101292205085
1979,0.242796610169491525
1980,0.251160827353313634
1981,0.217765042979942693
1982,0.250525430853299706
1983,0.252797347699958558
1984,0.240804106073567151
1985,0.255214723926380368
1986,0.251334702258726899
1987,0.229855810008481764
1988,0.225327510917030568
1989,0.217160548429898275
1990,0.192436572522738152
1991,0.182767624020887728
1992,0.177846153846153846
1993,0.160911602209944751
1994,0.150793650793650794
1995,0.185577942735949099
1996,0.152046783625730994
1997,0.17391304347826087
1998,0.075396825396825397
1999,0.08
2000,0.196721311475409836
2001,0.111111111111111111
2002,0
2003,0
